block_size,search_window_size,estimation_type,error_function,OF_MSEN,OF_PEPN,time
72,88,forward,mae,48.00519896904774,100.0,6.03035044670105
60,80,backward,nccoeff,2.5295022011416455,20.75625419342471,0.05636715888977051
20,40,backward,nccorr,3.879557204792084,20.955621585354166,0.05323290824890137
24,88,backward,nccoeff,2.786127516451462,16.526406594459885,0.14800000190734863
92,20,backward,mse,5.626241036799234,42.41253714176172,0.23275065422058105
128,16,forward,mae,12.991542383939287,95.40688200900988,0.0629732608795166
48,64,forward,nccoeff,4.512996075380834,27.777245279401896,0.03136301040649414
72,76,forward,nccoeff,3.912770869483224,32.87261573852199,0.03836178779602051
96,108,forward,nccorr,7.6449582339605096,52.571647656474646,0.019269704818725586
124,120,backward,mae,15.477926235825176,52.06364420588517,4.500212669372559
116,36,backward,nccorr,5.383677841669472,46.733441963002015,0.012075185775756836
128,40,backward,mse,8.738337365559024,62.300392983801395,0.3690929412841797
96,40,backward,mae,7.81982461301894,51.51250838684942,0.62554931640625
60,12,forward,mae,13.515866893854078,98.91881529761334,0.16666173934936523
56,112,forward,mse,9.687681469663467,39.451739672194,14.436147451400757
68,24,forward,mae,17.473918479696408,100.0,0.5034918785095215
92,8,backward,nccoeff,7.478218633712779,50.008626473689255,0.009500741958618164
20,80,forward,nccoeff,3.009396346319464,14.614204926674974,0.18942713737487793
16,84,forward,nccoeff,3.350136590019204,14.628582382823732,0.2781801223754883
8,84,forward,nccoeff,10.176524843122628,34.949678903479345,1.1633620262145996
12,60,forward,nccoeff,5.064568940636002,22.249592638742453,0.3679313659667969
32,92,forward,nccoeff,3.078919306241889,16.593501389820762,0.08552336692810059
36,96,forward,nccoeff,2.9606389968803324,17.274992811271925,0.13009881973266602
36,60,forward,nccoeff,2.958641706967365,17.11684079363558,0.0540623664855957
40,60,forward,nccoeff,3.068952032063508,17.506949103805233,0.04512476921081543
44,100,forward,mse,8.69409879403165,35.69347263490846,18.137887001037598
28,128,forward,nccorr,2.332922392242575,12.99817885555449,0.21535420417785645
28,128,forward,nccorr,2.332922392242575,12.99817885555449,0.21546435356140137
28,128,forward,nccorr,2.332922392242575,12.99817885555449,0.21741151809692383
24,128,forward,nccorr,2.243122627179956,12.955046487108214,0.28253960609436035
52,128,forward,nccorr,3.8862841162674244,21.215374293108404,0.07366323471069336
20,116,forward,nccorr,2.7207282076107098,13.897249113390204,0.3813307285308838
24,128,forward,nccorr,2.243122627179956,12.955046487108214,0.28223419189453125
48,104,forward,nccorr,4.464374590514103,27.683312565896674,0.07062602043151855
80,120,backward,nccorr,5.617341276129927,45.11262340649861,0.0345311164855957
24,116,forward,nccorr,2.243122627179956,12.955046487108214,0.2675309181213379
8,112,forward,nccorr,12.03474108131722,34.698552669414354,1.4863359928131104
76,72,forward,nccorr,6.729900556134325,46.427681395571746,0.018105745315551758
24,124,forward,nccorr,2.243122627179956,12.955046487108214,0.27518153190612793
20,120,forward,nccorr,2.699604780761465,13.897249113390204,0.38829612731933594
24,108,forward,nccorr,2.2423158400937093,12.955046487108214,0.2524712085723877
44,108,forward,nccorr,3.203817683985881,19.92907121633279,0.08467602729797363
16,92,backward,nccorr,2.8288268942735164,16.622256302118277,0.2306814193725586
112,104,forward,nccorr,6.012949347712372,47.772452794018974,0.01775836944580078
36,112,backward,mse,9.33412144574928,35.07715901466501,33.06651020050049
60,120,forward,nccorr,3.340246193981912,20.350809930029712,0.05373668670654297
12,116,backward,mae,29.268903699086884,81.83935588996454,283.64036107063293
24,104,forward,nccorr,2.209239877973388,12.955046487108214,0.12342953681945801
24,108,forward,nccorr,2.2423158400937093,12.955046487108214,0.2531247138977051
32,104,forward,nccorr,2.6220262032162593,16.665388670564553,0.14548325538635254
16,92,forward,nccorr,2.85905988732064,13.499472826607878,0.23058676719665527
24,108,forward,mae,46.57400310463056,99.87251988881434,63.827399015426636
44,48,forward,nccorr,4.134488487273106,22.615738521997507,0.03061676025390625
8,96,forward,mse,19.757970141651263,68.7424518355219,443.30140447616577
32,84,forward,nccorr,2.613216506142953,16.651011214415796,0.06600785255432129
88,124,backward,nccorr,3.6083674513911492,36.49861017923895,0.03271675109863281
104,24,forward,mae,16.44011839298947,97.14655420300967,0.22220444679260254
64,112,forward,nccorr,5.633264639566435,35.7270200325889,0.04543328285217285
20,116,forward,nccorr,2.7207282076107098,13.897249113390204,0.3807106018066406
28,100,forward,nccorr,2.283303792472764,12.99817885555449,0.0918874740600586
24,124,forward,nccorr,2.243122627179956,12.955046487108214,0.2754213809967041
40,116,forward,nccorr,2.782672702714891,16.480398734783858,0.10912823677062988
12,108,forward,mse,17.688613509001666,57.345921594939135,250.34779906272888
36,124,forward,nccorr,3.333653936869173,18.129013706508196,0.13720464706420898
16,100,forward,nccorr,3.020786159106808,13.637496405635963,0.39618873596191406
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.11224985122680664
52,76,forward,nccorr,2.717327079790235,19.851432953129493,0.02580857276916504
32,88,backward,mae,22.932544417910105,64.90942202626282,24.16726279258728
24,112,forward,nccorr,2.243122627179956,12.955046487108214,0.2567758560180664
28,96,forward,nccorr,2.283303792472764,12.99817885555449,0.09383249282836914
12,128,forward,nccorr,7.436352555632013,21.11377360299051,0.8065435886383057
20,104,forward,nccorr,2.5191671661531694,13.71513466883926,0.17727971076965332
40,120,forward,nccorr,2.898735960363938,16.480398734783858,0.1103823184967041
24,108,forward,nccoeff,3.0536162541870793,14.070737084251892,0.29643678665161133
32,116,forward,nccorr,2.621131577074183,16.665388670564553,0.15145325660705566
20,88,forward,nccorr,2.316990962521538,13.496597335378127,0.15956830978393555
16,64,forward,mse,10.207854393027725,47.13696923224384,51.574644327163696
28,124,forward,nccorr,2.331397185687146,12.99817885555449,0.21036338806152344
24,124,forward,nccorr,2.243122627179956,12.955046487108214,0.2750720977783203
36,128,forward,nccorr,3.3322230717826002,18.129013706508196,0.15270209312438965
24,120,forward,nccorr,2.243122627179956,12.955046487108214,0.2715616226196289
12,116,forward,nccorr,6.748756646622994,20.699702865906257,0.7611939907073975
16,112,forward,nccorr,3.309681501465368,13.592447043036518,0.39928555488586426
8,100,backward,nccorr,10.665531317084067,36.7401514425381,1.3781323432922363
32,120,forward,nccoeff,3.078919306241889,16.593501389820762,0.1813061237335205
40,108,forward,nccorr,2.7821501198569982,16.480398734783858,0.10667014122009277
28,128,forward,nccorr,2.332922392242575,12.99817885555449,0.2162625789642334
48,80,forward,mae,40.064411032814675,100.0,9.793524026870728
24,124,forward,nccorr,2.243122627179956,12.955046487108214,0.2748425006866455
